class,description
420,เดินทางปลอดภัยไปกับ walk me home
421,แอปพลิเคชันสำหรับป้องกันและช่วยเหลือผู้ที่เสี่ยงต่อการพยายามทำร้ายตนเอง (Light Life)
422,Drive Buddy สนับสนุนการขับรถอย่างระมัดระวัง ลดอุบัติเหตุบนท้องถนน
423,ช่วยเหลือเด็กเยาวชนด้อยโอกาส
424,โครงการ สร้างบ้านเด็กกำพร้า พื้นที่การเรียนรู้ สู่พื้นที่ปลอดภัยสำหรับเด็ก
425,1 ตัวของฉัน 1ตัวให้เธอ
426,เครื่องจักรไร้เชื้อเพลิง
427,Craft for Reading
428,ทำหมันแมวจร รักษาเบื้องต้นและหาบ้านให้แมว  บริเวณเพลินจิต ชิดลม ประตูน้ำ
429,ธนาคารอาชีพ
430,Active Citizen : Geek so Good 
431,เครื่องเปลี่ยนขวดเป็นเงินเพื่อเด็ก
432,Chillax  การท่องเที่ยวรูปแบบใหม่เพื่อความยั่งยืนของชุมชน
433,สื่อสร้างสานสุข
434,สร้างเตาเผาสุนัขและแมว
435,อุปกรณ์สื่อสารสำหรับนักเรียนบกพร่องในการได้ยิน
436,คิดถึงป่า
437,อุปกรณ์โรงอาหารโรงเรียนบ้านแม่แพน้อย(2)
438,สร้างห้องสมุด สร้างโอกาส สร้างอนาคต
439,Enabled-เว็บไซต์แนะนำการหางานและช่องทางการพัฒนาศักยภาพผู้พิการ
440,PaiPun รวมพลคนรักการปั่นจักรยาน
441,โครงการก่อสร้างอาคารเรียน โรงเรียนโพธิวัฒน์พิทยา
442,กล่องข้าวเพื่อเด็กกินดี  ปี 2
443,ห้องน้ำแด่น้องศูนย์พัฒนาเด็กเล็กวัดเชิงแตระ
444,พัฒนาชุดโคม LED แก้ปัญหาทารกตัวเหลือง
445,Rice for Good ส่งข้าวให้เด็กที่ห่างไกล
446,สุจริตไทย สร้างสังคมให้โปร่งใสและเป็นธรรม
447,รักษ์ป่า
448,โครงการการหารายได้จัดซื้ออาคาร เพื่อตั้งศูนย์การเรียนและฝึกอาชีพสำหรับคนตาบอดในท้องถิ่น
449,Grit to Glitter
450,โรงเรียนบ้านตากแดด จังหวัดพังงา : การประกวดการบริหารกายหน้าเสาธง กรมพลศึกษา
451,สร้างอาคารเรียนดินแก่เด็กอมก๋อย
452,ปฏิบัติการช่วยเหลือสัตว์ป่าเขาใหญ่
453,ธนาคารจักรยานเพื่อน้องไปโรงเรียน
454,ปันบุญปันใจใส่ใจดูแลวัดโปราณที่ถูกทอดทิ้ง
455,โครงการพัฒนาแอพพลิเคชั่นบนมือถือ Volunteer Network: สำหรับจัดการบริหารข้อมูลงานจากมูลนิธิให้กับจิตอาสา
456,ต่อบ้านเติมชีวิตให้เด็ก 3 พี่น้อง
457,Share 'Wheelchair' มอบรถเข็นเพื่อเด็กพิการ
458,Mobile Application Volunteer Network: volunteer information management  
459,โครงการพัฒนาแอพพลิเคชั่นบนมือถือ Volunteer Network เฟส 1: สำหรับจัดการบริหารข้อมูลงานจากมูลนิธิให้กับจิตอาสา
460,dsjfhfg
461,อ่านสร้างชาติ : มอบนิทานท้องถิ่นให้เด็ก
462,สวมรองเท้าพร้อมไปโรงเรียน
463,\"ฟักฝันเฟส\" เทศกาลให้เด็กรู้จักอาชีพที่อยากเป็น
464,วารสารแจกฟรีสำหรับวัยรุ่นด้อยโอกาสในสถานสงเคราะห์
465,หาทุนทำบุญในวันเกิดช่วยเหลือเด็กในถิ่นธุรกันดาร
466,ชวนคนดีปลูกบ้านดินอยู่ด้วยกัน(ชุมชนพอเพียงเคียงธรรม)
467,หนังสือเพื่อช่วยเพื่อนคนไร้ที่พึ่ง
468,หลังคาตากผ้าผู้ต้องขังหญิงเรือนจำอ่างทอง
469,คืนแสงสว่างสู่ชุมชนห่างไกล (บ้านดงนาและโหง่นขาม)
470,Setup of crematory unit for the disposal of animal carcasses in the lom sak district
471,อุปกรณ์การเรียนแก่เด็กอมก๋อย 
472,สามล้อทอใจเพื่อคนพิการทางการเคลื่อนไหว
473,asdd
474,พาน้องหูหนวกเข้าห้องเรียน
475,“FUK FUN FEST” – TO MEET YOUR OWN PASSION FOR FUTURE CAREERS LET’S START HERE!
476,ธนาคารเครื่องปั้มนมยืมคืน
477,อุปกรณ์ฝึกทักษะสำหรับเด็กสมองพิการ C.P. (Activities of Daily Living for Cerebral Palsy Kids)
478,Infinity Talks ข้อจำกัดของร่างกาย ไม่ใช่ข้อจำกัดของความสามารถ
479,โรงเรียนเปื้อนยิ้ม : ลานกีฬาบนดอย
480,พาเด็กป่วยหนักเรื้อรังไปสถาบันวิทยาศาสตร์ทางทะเล
481,ของขวัญปีใหม่ ส่งใจให้เด็กป่วย ปีที่ 10
482,ซ่อมแซมประปาภูเขาจากน้ำป่าทำลายให้โรงเรียนแม่เงา
483,[test]
484,ช่วยบูรณะ วัดบ้านนอก ให้ดูดีหน่อยครับ
485,ครูอาสาฝรั่งใจดี สอนผ่านออนไลน์ ขยายโอกาสสู่ต่างจังหวัด
486,ผู้พิทักษ์ลุ่มน้ำคองยัน ตอน ห้องเรียนชุมชนคลองยัน
487,Art for Health
488,ซ่อม-สร้างห้องน้ำให้เด็กเล็กโรงเรียนบ้านหนองกราด
489,เสมาลัย สวนเกษตรศิลป์
490,เติมใจเติมออกซิเจน... คุณตาคุณยาย
491,Saturday School Season 5
492,โครงการเสมาลัย แหล่งเรียนรู้ สวนเกษตรศิลป์
493,\"ผู้พิทักษ์ป่า\" เราเฝ้าป่าไว้ให้คนไทยทั้งชาติ
494,หาค่าผ่าตัดให้ น้องมันนี่
495,ยารักษาโรคเพื่อชาวบ้านชายแดนอุ้มผาง
496,ประปาภูเขาสู่การดำเนินชีวิต 
497,ทำหมันแมวสัญจร
498,ปันน้ำใจช่วยรักษาเด็กป่วย
499,อาสาค่ายเพื่อน้อง
500,โครงการบริหารจัดการอาหารปลาหวดน้ำตกโตนแพรทองแบบยั่งยืน
501,คืนครูให้โรงเรียนบ้านไกรเกรียง
502,แกะสลักสบู่อาชีพเพื่อทุนการศึกษา
503,ห้องสมุดของเล่นเด็กพิการ จ.กระบี่
504,เด็กรักน้ำตกภูวัว
505,มัลติพอยท์สื่อการสอนที่มาลบคำว่า “ขาดแคลน”
506,สร้างอาคารเรียนสะเนพ่องกลางทุ่งใหญ่นเรศวร
507,อุปกรณ์อาหารแก่โรงเรียนบ้านขุนแม่ตื่นน้อย
508,100 liveschallenge
509,สร้างอนาคตเด็กไทย...วันนี้ สร้างอนาคต สร้างสังคมไทยที่มีคุณภาพ
510,DSC Sport Fair
511,ชุดนักเรียนให้น้องที่ประสบอุทกภัยใต้
512,โมบายการเรียนรู้สัญจร คุณสุข เราก็สุข
513,ปันน้ำใจให้พี่น้องกลับบ้านอย่างปลอดภัย
514,มอบอุปกรณ์เครื่องเล่นสนาม
515,มอบจักรยาน 1000 คัน เพื่อน้องที่ห่างไกล
516,ส่งหนังสือให้โรงเรียนที่ถูกน้ำท่วมภาคใต้
517,วันพิเศษเพื่อแม่ (เด็กป่วย)
518,The Food Must Go On อาหารดี เราไม่เท
519,The Food Must Go On อาหารดี เราไม่เท
520,พาวีลแชร์เรียนรู้การถ่ายภาพ เปลี่ยนพลังให้สองล้อหมุนสู่โลกกว้าง
521,สเปรย์ไล่ยุงเพื่อชุมชนปลอดภัย
522,สายใยซั้งเชือก สร้างแหล่งอาศัยสัตว์น้ำ
523,เยียวยาเด็กที่ได้รับผลกระทบจากความรุนแรงในสามจังหวัดชายแดนใต้
524,ส่งมอบผ้าอ้อมผู้ใหญ่ สำหรับผู้ป่วยสูงอายุ
525,สนามเด็กเล่นเพื่อเด็กชายแดนบ้านท่าสองยาง
526,โครงการเทใจ
527,หมื่นฝันปันโอกาส
528,พาเป็ดขึ้นดอย
529,สานฝันให้นักกายกรรม(ไร้)สัญชาติ
530,ขอห้องเรียนให้น้องอนุบาล
531,ส่งมอบผ้าอ้อมผู้ใหญ่ สำหรับผู้ป่วยสูงอายุ(2)
532,กองทุนการศึกษาเพื่ออนาคตเด็กไทย ผ่าน แคมเปญ Limited Education
533,กองทุนเพื่อคนเร่ร่อนชายแดนแม่สาย
534,ขอครูอีกคนไปสอนที่โรงเรียนบ้านวังหิน
535,ที่นี่...มีเด็กหาย
536,เพื่อนยามยาก วันพบรัก(ษา)ระหว่างผู้ช่วยเหลือคนไข้และผู้สูงอายุในชุมชน
537,นาแลกป่า - ทางออกที่ยั่งยืนในการฟื้นฟูป่า
538,ร่วมกันเยียวยาเด็กๆ พื้นที่สามจังหวัดชายแดนภาคใต้ (ลูกเหรียง)
539,นกกระเรียนอยู่ได้ คนอยู่ดี
540,UNDP เพื่อสร้างการพัฒนาที่ยั่งยืนในประเทศไทย
541,UNDP เพื่อขยายโอกาสการสร้างรายได้ ให้ชุมชนอื่นๆ ในจังหวัดชายแดนภาคใต้
542,UNDP เพื่อสร้างการพัฒนาที่ยั่งยืนในประเทศไทย
543,UNDP เพื่อสร้างการพัฒนาที่ยั่งยืนในประเทศไทย
544,UNDP เพื่อสร้างการพัฒนาที่ยั่งยืนในประเทศไทย
545,UNDP เพื่อสร้างการพัฒนาที่ยั่งยืนในประเทศไทย
546,UNDP เพื่อสร้างการพัฒนาที่ยั่งยืนในประเทศไทย
547,ล้อเลื่อนเพื่อคนพิการ
548,UNDP Thailand
549,ขอไฟฟ้าให้โรงเรียนบ้านห้วยมะกอก
550,เลนส์อนุรักษ์
551,ปรับปรุงโรงเรียนบ้านป่าสน
552,1 Help 1  Life : น้ำสะอาดให้น้องดื่ม
553,หนังสือดีพี่ให้น้อง “100 เรื่องจริงของ(เด็ก)หญิงกล้าเปลี่ยนโลก”
554,CPR at School: สร้างนักเรียนให้เป็นนักกู้ชีพ
555,ปรับปรุงห้องทันตกรรม รพ.ค่ายวิภาวดีรังสิต
556,One-day Speaking English Camp
557,สร้างโรงอาหารชุมชนบ้านสวนอ้อย
558,บันทึกแห่งความสุขครอบครัว(เด็กป่วย)
559,มอบผ้าอ้อมและถุงกำลังใจให้ผู้ป่วยสูงอายุ
560,The white room ค่ายวิทย์สุดสนุกแก่เด็กพื้นที่ห่างไกล
561,Help Nepali girls flood victims with sanitary napkins & health!
562,Young O Der สูงวัยยังไหวอยู่
563,มหกรรมแนะแนวการศึกษา เด็กพิการเรียนไหนดี
564,ต่อยอดความรู้ให้น้องด้วยห้องเรียนดิจิทัล
565,ระดมทุนช่วยผู้หนีภัยสู้รบในศูนย์พักพิงอิตุท่า
566,Rice4Good ส่งข้าวให้เด็กดอย
567,ทดสอบ
568,'บ้าน' ของคนไร้ที่พึ่ง
569,'บ้าน' ของคนไร้ที่พึ่ง
570,ที่นี่ฉันเรียกว่า 'บ้าน'
571,วันที่รอคอยของเด็กสองฝั่งโขง
572,ส่งดินสอ ให้น้องได้เรียนหนังสือ
573,เครื่องผสมอาหารไก่สมุนไพรเพิ่มคุณภาพไข่อินทรีย์
574,Energy Gift Mini สอนสร้างโซลาร์แลมป์ให้ใช้อ่านหนังสือ
575,Audio Theatre เพื่อคนตาบอด
576,Life Hero Thailand
577,อุปกรณ์สื่อสารผ่านดวงตาเพื่อผู้ป่วยอัมพาต
578,หนังสือวิเศษเพื่อน้อง
579,ของขวัญปีใหม่ให้เด็กป่วย 7 โรงพยาบาล
580,Saturday School Season 6: Happiness
581,ต่อลมหายใจให้เด็กที่กล้ามเนื้ออ่อนแรง A Breathe To Move
582,ร.รถลงพื้นที่แก่กลุ่มลูกเหรียง
583,Air4All เครื่องฟอกอากาศแบบพกพา
